model_layer,slab_budget,measured_bytes_per_position,projected_behavioral_cost,measured_kl_at_budget,mean_exact_fallback_routes
10,120,64512000,0.0008235363919845746,,0.0
10,144,77414400,0.00029009880483201627,,0.0
10,168,90316800,5.552883534964314e-05,,0.0
10,192,103219200,7.838810693862137e-34,,0.0
11,24,15654912,0.07917626948676472,,0.0
11,48,31309824,0.040836906184349625,,0.0
11,72,46964736,0.021763275625618726,,0.0
11,96,62619648,0.010975149962746749,0.010975149962746747,0.0
11,120,78274560,0.004885959227833751,,0.0
11,144,93929472,0.0016976798800436938,,0.0
11,168,109584384,0.0003173789857501573,,0.0
11,192,125239296,8.154739281296387e-33,,0.0
12,24,13104000,0.0062753992703607105,,0.03125
12,48,26006400,0.00397814396925204,,0.03125
12,72,38908800,0.002509391645202836,,0.03125
12,96,51811200,0.0014850785510444366,0.0014850785510444368,0.03125
12,120,64713600,0.0007767784962624007,,0.03125
12,144,77616000,0.00031993482351247194,,0.03125
12,168,90518400,7.209250821100038e-05,,0.03125
12,192,103219200,3.878250643320225e-34,,0.03125
13,24,12902400,0.006987918339175663,,0.0
13,48,25804800,0.004350865603509951,,0.0
13,72,38707200,0.002645137155152578,,0.0
13,96,51609600,0.0015030610737060838,0.001503061073706084,0.0
13,120,64512000,0.0007530393784717334,,0.0
13,144,77414400,0.00029500797928088345,,0.0
13,168,90316800,6.230356342227291e-05,,0.0
13,192,103219200,3.333491973313315e-34,,0.0
14,24,12902400,0.013094403833331086,,0.0
14,48,25804800,0.008270810411591981,,0.0
14,72,38707200,0.005050007147355485,,0.0
14,96,51609600,0.0028591393448183216,0.002859139344818321,0.0
14,120,64512000,0.001416856673382265,,0.0
14,144,77414400,0.0005459187835896162,,0.0
14,168,90316800,0.00011253756426147641,,0.0
14,192,103219200,5.1935946111566625e-34,,0.0
15,24,12902400,0.010689261041435458,,0.0
15,48,25804800,0.006330748926184799,,0.0
15,72,38707200,0.003631754631248497,,0.0
15,96,51609600,0.0019414084965588615,0.0019414084965588612,0.0
15,120,64512000,0.0009114930286098111,,0.0
15,144,77414400,0.0003333906627275516,,0.0
15,168,90316800,6.50552480249652e-05,,0.0
15,192,103219200,6.11214182613082e-34,,0.0
16,24,12902400,0.01547388742327582,,0.0
16,48,25804800,0.00871108876223916,,0.0
16,72,38707200,0.004787928429726482,,0.0
16,96,51609600,0.0024587630541473182,0.0024587630541473182,0.0
16,120,64512000,0.0011209607262092677,,0.0
16,144,77414400,0.0004048026555086956,,0.0
16,168,90316800,8.020178425697589e-05,,0.0
16,192,103219200,8.17922134803142e-34,,0.0
17,24,12902400,0.04344277997413178,,0.0
17,48,25804800,0.024869519141176515,,0.0
17,72,38707200,0.013910143612254004,,0.0
17,96,51609600,0.007265770379894572,0.007265770379894572,0.0
17,120,64512000,0.0033471166840598763,,0.0
17,144,77414400,0.0012081937095372872,,0.0
17,168,90316800,0.00023518508580407338,,0.0
17,192,103219200,1.7551973912647948e-33,,0.0
18,24,12902400,0.04597404369488017,,0.0
18,48,25804800,0.026867929153555115,,0.0
18,72,38707200,0.015404112222793018,,0.0
18,96,51609600,0.00820255543006734,0.008202555430067341,0.0
18,120,64512000,0.0038337608167915834,,0.0
18,144,77414400,0.0014035476226710013,,0.0
18,168,90316800,0.0002787320729227084,,0.0
18,192,103219200,2.8731460252743193e-33,,0.0
19,24,12902400,0.05816139597055576,,0.0
19,48,25804800,0.03265060839386013,,0.0
19,72,38707200,0.018100326653948548,,0.0
19,96,51609600,0.009361657995096853,0.009361657995096853,0.0
19,120,64512000,0.0042778044134108625,,0.0
19,144,77414400,0.0015355095426217047,,0.0
19,168,90316800,0.0003025183440121543,,0.0
19,192,103219200,4.963419344980475e-33,,0.0
20,24,12902400,0.018282453383656035,,0.0
20,48,25804800,0.010239690059101254,,0.0
20,72,38707200,0.0056640175239108725,,0.0
20,96,51609600,0.0029398190930624646,0.0029398190930624646,0.0
20,120,64512000,0.001355028025536633,,0.0
20,144,77414400,0.0004953609760061385,,0.0
20,168,90316800,0.00010159297791409489,,0.0
20,192,103219200,1.2002276180564676e-33,,0.0
21,24,12902400,0.008411843520441652,,0.0
21,48,25804800,0.00450118090311314,,0.0
21,72,38707200,0.0023888877250682512,,0.0
21,96,51609600,0.0012067579035361378,0.001206757903536138,0.0
21,120,64512000,0.0005515414589270498,,0.0
21,144,77414400,0.000203331697812128,,0.0
21,168,90316800,4.192562844706154e-05,,0.0
21,192,103219200,5.977964599054186e-34,,0.0
22,24,12902400,0.02192327999816041,,0.0
22,48,25804800,0.01208316082623991,,0.0
22,72,38707200,0.006638670677261339,,0.0
22,96,51609600,0.0034504004949722318,0.0034504004949722318,0.0
22,120,64512000,0.0015981538532117803,,0.0
22,144,77414400,0.0005878682052773853,,0.0
22,168,90316800,0.00011914591715149239,,0.0
22,192,103219200,2.0691564970883868e-33,,0.0
23,24,12902400,0.025443171235042344,,0.0
23,48,25804800,0.013694030976271282,,0.0
23,72,38707200,0.007354767012009182,,0.0
23,96,51609600,0.0037501089219058514,0.0037501089219058514,0.0
23,120,64512000,0.0017141716307147322,,0.0
23,144,77414400,0.0006240276111192718,,0.0
23,168,90316800,0.0001251658359915006,,0.0
23,192,103219200,1.869302105084216e-33,,0.0
24,24,12902400,0.007038013819268227,,0.0
24,48,25804800,0.00466783540191913,,0.0
24,72,38707200,0.0029907507705036196,,0.0
24,96,51609600,0.001789201488213953,0.0017892014882139532,0.0
24,120,64512000,0.0009468407957413122,,0.0
24,144,77414400,0.000395908263362192,,0.0
24,168,90316800,9.192752903722935e-05,,0.0
24,192,103219200,2.8959731873752143e-34,,0.0
25,24,12902400,0.0074100895537174095,,0.0
