model_layer,slab_budget,measured_bytes_per_position,projected_behavioral_cost,measured_kl_at_budget,mean_exact_fallback_routes
6,144,81648000,0.0005584379264099322,,0.65625
6,168,94550400,8.552080320053835e-05,,0.65625
6,192,103219200,2.3656087645337572e-33,,0.65625
7,24,19152000,0.1151280874621154,,0.96875
7,48,32054400,0.05594881724420587,,0.96875
7,72,44956800,0.027846306503219856,,0.96875
7,96,57859200,0.012858213895398775,0.012858213895398776,0.96875
7,120,70761600,0.005016562158296121,,0.96875
7,144,83664000,0.0013962478754836263,,0.96875
7,168,95961600,0.00016278581238626314,,0.96875
7,192,103219200,1.0777279517956833e-32,,0.96875
8,24,26611200,0.05798638635100665,,2.125
8,48,39513600,0.02862056083788124,,2.125
8,72,52416000,0.01437547233509501,,2.125
8,96,65318400,0.006753085803573278,0.006753085803573277,2.125
8,120,78220800,0.002714363024646836,,2.125
8,144,91123200,0.0007861045465090958,,2.125
8,168,101808000,9.63050734454226e-05,,2.125
8,192,103219200,5.9316911125536236e-33,,2.125
9,24,20160000,0.015131375353237084,,1.125
9,48,33062400,0.007435009367485825,,1.125
9,72,45964800,0.0036925296920480776,,1.125
9,96,58867200,0.0017039981572788377,0.001703998157278838,1.125
9,120,71769600,0.0006739908912075779,,1.125
9,144,84672000,0.0001923270618332193,,1.125
9,168,97372800,2.3355777243873157e-05,,1.125
9,192,103219200,1.7002741543165318e-33,,1.125
10,24,19958400,0.015894125231447894,,1.09375
10,48,32860800,0.007804549827472071,,1.09375
10,72,45763200,0.003916985718627081,,1.09375
10,96,58665600,0.0018347041658425532,0.0018347041658425532,1.09375
10,120,71568000,0.0007392653117857598,,1.09375
10,144,84470400,0.00021420706952626236,,1.09375
10,168,96364800,2.6150654196573343e-05,,1.09375
10,192,103219200,1.1769121834975766e-33,,1.09375
11,24,25194624,0.10353847967363353,,1.21875
11,48,40849536,0.04894367449340239,,1.21875
11,72,56504448,0.0240093854350209,,1.21875
11,96,72159360,0.010975149962746745,0.010975149962746747,1.21875
11,120,87814272,0.004269396588856663,,1.21875
11,144,103469184,0.001172907725493095,,1.21875
11,168,118634880,0.00013215735568608946,,1.21875
11,192,125239296,1.1493779694745302e-32,,1.21875
12,24,25401600,0.006507193715751896,,1.9375
12,48,38304000,0.004106004151517112,,1.9375
12,72,51206400,0.0025669101795113515,,1.9375
12,96,64108800,0.0014850785510444368,0.0014850785510444368,1.9375
12,120,76809600,0.0007373168735314015,,1.9375
12,144,88905600,0.00026988019608229527,,1.9375
12,168,99187200,4.3714231625280806e-05,,1.9375
12,192,103219200,4.909682236235173e-34,,1.9375
13,24,19756800,0.007582743443166304,,1.0625
13,48,32659200,0.004632734702711895,,1.0625
13,72,45561600,0.0027478109262207857,,1.0625
13,96,58464000,0.001503061073706084,0.001503061073706084,1.0625
13,120,71366400,0.0007039543658188746,,1.0625
13,144,84268800,0.0002395524670431807,,1.0625
13,168,96768000,3.519539101855391e-05,,1.0625
13,192,103219200,3.0204422239900346e-34,,1.0625
14,24,23587200,0.015004967445913594,,1.65625
14,48,36489600,0.009159099215087391,,1.65625
14,72,49392000,0.005359178681209593,,1.65625
14,96,62294400,0.0028591393448183216,0.002859139344818321,1.65625
14,120,75196800,0.0012888136191495957,,1.65625
14,144,87696000,0.0004164389730788965,,1.65625
14,168,98380800,5.756228976981314e-05,,1.65625
14,192,103219200,5.754408359116796e-34,,1.65625
15,24,25804800,0.012980032792605725,,2.0
15,48,38707200,0.007337639371397566,,2.0
15,72,51609600,0.003946895610134912,,2.0
15,96,64512000,0.0019414084965588615,0.0019414084965588612,2.0
15,120,77414400,0.0008055033882561746,,2.0
15,144,90115200,0.00023262636170185444,,2.0
15,168,99993600,2.556988478648122e-05,,2.0
15,192,103219200,7.717230191189167e-34,,2.0
16,24,23587200,0.019026081944809047,,1.65625
16,48,36489600,0.010197276786828056,,1.65625
16,72,49392000,0.005243052585329912,,1.65625
16,96,62294400,0.002458763054147318,0.0024587630541473182,1.65625
16,120,75196800,0.0009743025204710315,,1.65625
16,144,87897600,0.0002704942131787722,,1.65625
16,168,98179200,3.092640016703684e-05,,1.65625
16,192,103219200,9.49056670432769e-34,,1.65625
17,24,21772800,0.05333985177974022,,1.375
17,48,34675200,0.028931543993591737,,1.375
17,72,47577600,0.015117606417416541,,1.375
17,96,60480000,0.007265770379894572,0.007265770379894572,1.375
17,120,73382400,0.0029628924810339175,,1.375
17,144,86284800,0.0008523199699313765,,1.375
17,168,98380800,9.937475239755786e-05,,1.375
17,192,103219200,3.065378232722448e-33,,1.375
18,24,22176000,0.05768817046131949,,1.4375
18,48,35078400,0.03173939588875703,,1.4375
18,72,47980800,0.016947309922430143,,1.4375
18,96,60883200,0.008202555430067341,0.008202555430067341,1.4375
18,120,73785600,0.0033435177689358523,,1.4375
18,144,86688000,0.0009665328293768361,,1.4375
18,168,98380800,0.00011797617926555564,,1.4375
18,192,103219200,3.589004599296473e-33,,1.4375
19,24,23990400,0.0754607483867599,,1.71875
19,48,36892800,0.039075111787349466,,1.71875
19,72,49795200,0.019928630510989084,,1.71875
19,96,62697600,0.009361657995096853,0.009361657995096853,1.71875
19,120,75600000,0.0037338579395759784,,1.71875
19,144,88502400,0.0010456799897645482,,1.71875
19,168,99187200,0.0001275647623722698,,1.71875
19,192,103219200,6.753831415239965e-33,,1.71875
20,24,32860800,0.024327096932549495,,3.09375
20,48,45763200,0.01265921584293204,,3.09375
20,72,58665600,0.0063734085095237085,,3.09375
20,96,71568000,0.0029398190930624646,0.0029398190930624646,3.09375
